1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-06-26,0919,4900 ALTHEA DR,ANNANDALE,VA,22003
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,0725, ARISTOTLE DR / FAIRFAX RIDGE RD,FAIRFAX,VA,22030
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,0725, ARISTOTLE DR / FAIRFAX RIDGE RD,FAIRFAX,VA,22030
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,0725, ARISTOTLE DR / FAIRFAX RIDGE RD,FAIRFAX,VA,22030
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,0725, ARISTOTLE DR / FAIRFAX RIDGE RD,FAIRFAX,VA,22030
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,0725, ARISTOTLE DR / FAIRFAX RIDGE RD,FAIRFAX,VA,22030
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,0725, ARISTOTLE DR / FAIRFAX RIDGE RD,FAIRFAX,VA,22030
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,0725, ARISTOTLE DR / FAIRFAX RIDGE RD,FAIRFAX,VA,22030
1,SERV-1,SERVICE - POLICE SERVICE,2023-06-26,0725, ARISTOTLE DR / FAIRFAX RIDGE RD,FAIRFAX,VA,22030
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,2023-06-26,0721,10500 JUDICIAL DR,FAIRFAX,VA,22030
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2023-06-26,0000,11700 SUMMERCHASE CIR,RESTON,VA,20194
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-06-26,0952,4000 MURDSTONE CT,FAIRFAX,VA,22033
1,SERV-2,SERVICE - CIVIL DISPUTE,2023-06-26,1016,2500 PASCAL PL,HERNDON,VA,20171
1,SERV-11,SERVICE - NATURAL DEATH,2023-06-26,0945,7400 SPRING VILLAGE DR,SPRINGFIELD,VA,22150
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-06-26,1023,6700 RICHMOND HWY,ALEXANDRIA,VA,22306
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2023-06-26,1051,8200 RUSSELL RD,ALEXANDRIA,VA,22309
1,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2023-06-26,1036,1500 HIDDENBROOK DR,HERNDON,VA,20170
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-06-26,1054,9100 RICHMOND HWY,FORT BELVOIR,VA,22060
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-06-26,1057,5700 BACKLICK RD,SPRINGFIELD,VA,22151
1,LARC-23-8,LARCENY - THEFT OF BICYCLES,2023-06-26,1122,8200 RUSSELL RD,ALEXANDRIA,VA,22309
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-06-26,1030,6600 RICHMOND HWY,ALEXANDRIA,VA,22306
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-06-26,1122,8000 CENTRAL PARK DR,ALEXANDRIA,VA,22309
1,ASSLT-13A-5,ASSAULT - AGGRAVATED ASSAULT ON LEO,2023-06-26,1008, FAIRVIEW PARK DR / NEW PROVIDENCE DR,FALLS CHURCH,VA,22042
2,DRUG-35A-1,DRUGS - OPIUM/COCAINE POSSESSION,2023-06-26,1008, FAIRVIEW PARK DR / NEW PROVIDENCE DR,FALLS CHURCH,VA,22042
1,TRES-90J-3,TRESPASSING - PUBLIC/PARK PROPERTY,2023-06-26,1110, BOWMAN TOWNE DR / FOUNTAIN DR,RESTON,VA,20190
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-06-26,0958,5900 KIMBLE CT,FALLS CHURCH,VA,22041
1,SERV-11,SERVICE - NATURAL DEATH,2023-06-26,1115,5600 IONA WAY,ALEXANDRIA,VA,22312
2,ANML-3,ANIMAL - SERVICE - DOMESTIC,2023-06-26,1115,5600 IONA WAY,ALEXANDRIA,VA,22312
1,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2023-06-26,1127,3800 PICKETT RD,FAIRFAX,VA,22031
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2023-06-26,1127,3800 PICKETT RD,FAIRFAX,VA,22031
3,SERV-999,POLICE PHONE REPORT,2023-06-26,1127,3800 PICKETT RD,FAIRFAX,VA,22031
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-06-26,1056,13900 WILLARD RD,CHANTILLY,VA,20151
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2023-06-26,1134,8400 FRYE RD,ALEXANDRIA,VA,22309
